"official_name","post_code4","post_code6","canton_label_short","latitude","longitude"
"Watt",8105,810502,"ZH",47.442809420962,8.48128035688
"Adlikon b. Regensdorf",8106,810602,"ZH",47.450316745008,8.4635389973676
"Rümlang",8153,815300,"ZH",47.451689507546,8.5326809776215
"Schleinikon",8165,816503,"ZH",47.498091509851,8.39148839676
"Schöfflisdorf",8165,816500,"ZH",47.500056679069,8.416861148437
"Stadel b. Niederglatt",8174,817400,"ZH",47.527136363493,8.466055290748
"Windlach",8175,817500,"ZH",47.541142606628,8.4749599567335
"Steinmaur",8162,816200,"ZH",47.499119899451,8.4556527963965
"Sünikon",8162,816201,"ZH",47.490701841053,8.4358914682867
"Weiach",8187,818700,"ZH",47.557622200441,8.437891109956
"Bäretswil",8344,834400,"ZH",47.337536017962,8.8557666183699
"Adetswil",8345,834500,"ZH",47.340521315607,8.8404015989704
"Bubikon",8608,860800,"ZH",47.26900456936,8.8172067935425
"Wolfhausen",8633,863300,"ZH",47.256559812859,8.8000784035278
"Tann",8632,863200,"ZH",47.263542090504,8.8515439901827
"Dürnten",8635,863500,"ZH",47.278136882223,8.8431793021038
"Steg im Tösstal",8496,849600,"ZH",47.353914843308,8.932344989591
"Fischenthal",8497,849700,"ZH",47.331475866056,8.9193049595773
"Gibswil",8498,849800,"ZH",47.313949261854,8.9152736558778
"Bertschikon (Gossau ZH)",8614,861400,"ZH",47.320954585134,8.7572713075121
"Grüt (Gossau ZH)",8624,862400,"ZH",47.311043929687,8.7819983948371
"Gossau ZH",8625,862500,"ZH",47.30104791787,8.7626908241023
"Ottikon (Gossau ZH)",8626,862600,"ZH",47.296492452563,8.7793579022265
"Grüningen",8627,862700,"ZH",47.284801543644,8.7619046359641
"Hinwil",8340,834000,"ZH",47.301180527795,8.8471974878526
"Wernetshausen",8342,834200,"ZH",47.298973934631,8.8664329870287
"Rüti ZH",8630,863000,"ZH",47.259109320891,8.8491539431656
"Aathal-Seegräben",8607,860700,"ZH",47.339443036738,8.7696121153937
"Wald ZH",8636,863600,"ZH",47.27704781191,8.9159321397052
"Laupen ZH",8637,863700,"ZH",47.266718458314,8.9321270227681
"Wetzikon ZH",8620,862000,"ZH",47.322389301036,8.8063617478138
"Wetzikon ZH",8623,862300,"ZH",47.332726594232,8.8168551926517
"Adliswil",8134,813400,"ZH",47.312839414392,8.522309696013
"Kilchberg ZH",8802,880200,"ZH",47.320416937228,8.5428219206392
"Langnau am Albis",8135,813500,"ZH",47.2882382624,8.5345681358767
"Oberrieden",8942,894200,"ZH",47.27700881288,8.5766870043541
"Richterswil",8805,880500,"ZH",47.208255995392,8.7009488404974
"Samstagern",8833,883300,"ZH",47.191091103645,8.6820023642963
"Rüschlikon",8803,880300,"ZH",47.309326612617,8.5548791281187
"Gattikon",8136,813600,"ZH",47.284621882176,8.5505688088751
